Warehouse,Name,City,State,Region,Export,Port,ESO,Flat Bed Fees,Late Fees,Transportation Adjust,Misc  Fees,Consol Interest
601004,Farmers Peanut Bonded Warehouse,Seaboard,NC,Eastern Rule 5,ER5,Savannah,0,0,0,0,0,0
601006,Roanoke Ag Bonded Warehouse,Weldon,NC,Eastern Rule 5,ER5,Savannah,0,0,0,0,0,0
602005,Royster PandM Warehouse,Shelby,NC,Eastern Rule 5,ER5,Savannah,0,0,0,0,0,0
605515,Edgecombe Bond Warehouse,Tarboro,NC,Eastern Rule 5,ER5,Savannah,0,0,0,0,0,0
607540,Roanoke Tar Cotton Warehouse-2-3083,Everetts,NC,Eastern Rule 5,ER5,Savannah,0,0,0,0,0,0
607541,Paxton Bonded Storage Firestone,Wilson,NC,Eastern Rule 5,ER5,Savannah,0,0,0,0,0,0
611030,Paxton Bonded Warehouse,Wilson,NC,Eastern Rule 5,ER5,Savannah,0,0,0,0,0,0
631020,Plains Cotton Cooperative Association,Altus,OK,WTX,WTX,Dallas,1,1,0.25,0,0,0
676592,General Warehouse and Storage Co,Bennettsville,SC,Eastern Rule 5,ER5,Savannah,0,0,0,0,0,0
677503,Cotton Growers Warehouse Inc,Bishopville,SC,Eastern Rule 5,ER5,Savannah,0,0,0,0,0,0
682505,Cameron Cotton and Seed Co,Cameron,SC,Eastern Rule 5,ER5,Savannah,0,0,0,0,0,0
689560,McInnis Bonded Warehouse,Clio,SC,Eastern Rule 5,ER5,Savannah,0,0,0,0,0,0
702530,"Elloree Gin Company, Inc.",Elloree,SC,Eastern Rule 5,ER5,Savannah,0,0,0,0,0,0
710530,Staple Cotton Cooperative Association,Greer,SC,Eastern Rule 5,ER5,Savannah,0,0,0,0,0,0
712575,"Humphrey Coker Seed Co., Inc",Hartsville,SC,Eastern Rule 5,ER5,Savannah,0,0,0,0,0,0
720600,Humphrey Coker Seed Co-lake City Whse,Lake City,SC,Eastern Rule 5,ER5,Savannah,0,0,0,0,0,0
729020,United Bonded Warehouse,Manning,SC,Eastern Rule 5,ER5,Savannah,0,0,0,0,0,0
731205,Minturn Bnd Cotton Warehouse,Dillion,SC,Eastern Rule 5,ER5,Savannah,0,0,0,0,0,0
735030,Culler Holstein Gin,North,SC,Eastern Rule 5,ER5,Savannah,0,0,0,0,0,0
754585,"Middling Cotton Co., Inc.",St. Matthews,SC,Eastern Rule 5,ER5,Savannah,0,0,0,0,0,0
787010,Hughes Warehouse,Brownsville,TN,Memphis Rule 5,MR5,Memphis,0,0,0,0,0,0
787097,Two Way Warehouse,Brownsville,TN,Memphis Rule 5,MR5,Memphis,0,0,0,0,0,0
788008,Kelcot Warehouses LLC,Covington,TN,Memphis Rule 5,MR5,Memphis,0,0,0,0,0,0
788020,Green Point Ag- was Tn Gin,Covington,TN,Memphis Rule 5,MR5,Memphis,0,0,0,0,0,0
789505,Elora Gin Warehouse,Elora,TN,Memphis Rule 5,MR5,Memphis,0,0,0,0,0,0
790990,Halls Gin Co Inc,Halls,TN,Memphis Rule 5,MR5,Memphis,0,0,0,0,0,0
791730,Humboldt Cotton Warehouse,Humboldt,TN,Memphis Rule 5,MR5,Memphis,0,0,0,0,0,0
792025,West Tennessee Warehouse,Jackson,TN,Memphis Rule 5,MR5,Memphis,0,0,0,0,0,0
793960,Mallory Cotton Warehouse Division-Memphis,Memphis,TN,Memphis Rule 5,MR5,Memphis,0,0,0,0,0,0
793961,Viterra USA-Cotton#1,Memphis,TN,Memphis Rule 5,MR5,Memphis,0,0,0,0,0,0
793962,Viterra USA LLC Cotton #2,Memphis,TN,Memphis Rule 5,MR5,Memphis,0,0,0,0,0,0
794205,Longtown Warehouse,Mason,TN,Memphis Rule 5,MR5,Memphis,0,0,0,0,0,0
794505,Cotton Trade Warehouse (Cargill Whse-Memphis),Memphis,TN,Memphis Rule 5,MR5,Memphis,0,0,0,0,0,0
794540,Memphis Compress Warehouse,Memphis,TN,Memphis Rule 5,MR5,Memphis,0,0,0,0,0,0
794550,Producers Warehouse #1,Memphis,TN,Memphis Rule 5,MR5,Memphis,0,0,0,0,0,0
794553,Producers Warehouse #3,Memphis,TN,Memphis Rule 5,MR5,Memphis,0,0,0,0,0,0
794555,Producers Warehouse #2,Memphis,TN,Memphis Rule 5,MR5,Memphis,0,0,0,0,0,0
794560,The Distribution Center,Memphis,TN,Memphis Rule 5,MR5,Memphis,0,0,0,0,0,0
794598,River CityWarehouse,Memphis,TN,Memphis Rule 5,MR5,Memphis,0,0,0,0,0,0
795005,Milan Compress Warehouse,Milan,TN,Memphis Rule 5,MR5,Memphis,0,0,0,0,0,0
795007,Total Commodity Warehouse,Memphis,TN,Memphis Rule 5,MR5,Memphis,0,0,0,0,0,0
795026,International Cotton Depots Plant 4,Memphis,TN,Memphis Rule 5,MR5,Memphis,0,0,0,0,0,0
797660,Oak Grove Gin and Warehouse LLC,Somerville,TN,Memphis Rule 5,MR5,Memphis,0,0,0,0,0,0
810001,FCC-High Plains Division Amarillo,Amarillo,TX,WTX,WTX,Dallas,1,1,0.25,0,0,0
810002,Amarillo Cotton Warehouse,Amarillo,TX,WTX,WTX,Dallas,0,0,0,0,0,0
810003,Amarillo Cotton Warehouse,Amarillo,TX,WTX,WTX,Dallas,0,0,0,0,0,0
810535,Amarillo Cotton Warehouse,Amarillo,TX,WTX,WTX,Dallas,0,0,0,0,0,0
