Warehouse	City	State	Name	County	Terms	Verified	Points	Recv	Strg	Load	Compr	Class	Mark	EffDate	Bales	Rail	ICE Ref	Capacity	CertLoad	CertCompr	CertMark	CertRecv	CertStrg	CertClass	Min Storage	Basis Adj.
385000	Liberal	KS	Plains Cotton Cooperative Association	Seward               	2	Yes	0.0507	5.15	0.065	6.25	12	0	0	8/1/2025	0	no			0	0	0	0	0	0	1.95	-0.0328
385001	Clearwater	KS	Plains Cotton Cooperative Association	Sedgwick             	2	Yes	0.0507	5.15	0.065	6.25	12	0	0	8/1/2025	0	no			0	0	0	0	0	0	1.95	-0.0107
400510	Alexandria	LA	Cotton Storage Inc	Rapides              	1	Yes	0.0527	5.35	3.5	9	8.5	0	0	9/1/2025	0	yes			0	0	0	0	0	0	0	
406505	Ferriday	LA	Cotton Warehouse of Concordia	Concordia            	1	Yes	0.0489	4.7	3	8.5	8.25	0	0	9/1/2025	0	no			0	0	0	0	0	0	0	
410020	Lake Providence	LA	Hollybrook Warehouse	East carroll         	1	Yes	0.0518	2.35	3.5	9	8	3.05	0	9/1/2025	0	yes			0	0	0	0	0	0	0	
413550	New Orleans	LA	"The Kearney Companies, Inc."	Orleans              	1	Yes	0.0098	0	0.08	2.5	0	0	0	8/1/2025	0	no			0	0	0	0	0	0	0	
413551	New Orleans	LA	The Kearney Company	Orleans              	1	Yes	0.0098	0	0.08	2.5	0	0	0	9/1/2025	0	no			0	0	0	0	0	0	0	
416010	Rayville	LA	Staplcotn/Rayville	Richland             	1	Yes	0.0389	2.4	3	4	7	3.05	0	9/1/2025	0	yes			0	0	0	0	0	0	0	
417205	St. Joseph	LA	"Tensas Warehouse, Inc."	Tensas               	1	Yes	0.029	3.5	3	8	0	0	0	8/1/2025	0	no			0	0	0	0	0	0	0	
418515	Tallulah	LA	Staplcotn/Tallulah Comp Warehouse	Madison              	1	Yes	0.0389	2.4	3	4	7	3.05	0	9/1/2025	0	yes			0	0	0	0	0	0	0	
420002	Winnsboro	LA	Franklin Cotton Warehouse	Franklin             	1	Yes	0.0516	5.3	3.5	9	8	0	0	9/1/2025	0	no			0	0	0	0	0	0	0	
466466	Saltillo	MS	Scruggs Farm Warehouse	Lee                  	1	Yes	0.0329	5	2.5	5	0	3.05	0	9/1/2025	0	no			0	0	0	0	0	0	0	
467005	Belzoni	MS	FCW- Belzoni	Humphreys            	1	Yes	0.0411	1.5	3.15	3.75	8	3.05	0.5	9/1/2025	0	no			0	0	0	0	0	0	0	
470012	Clarksdale	MS	North Delta Compress and Warehouse Company	Coahoma              	1	Yes	0.0496	1.85	3.2	7.8	8	3.05	0	9/1/2025	0	no			0	0	0	0	0	0	0	
476505	Greenwood	MS	FCW- Greenwood #1	Leflore              	1	Yes	0.0411	1.5	3.15	3.75	8	3.05	0.5	9/1/2025	0	no			0	0	0	0	0	0	0	
476510	Greenwood 	MS	Federal Compress Greenwood #2	Leflore              	1	Yes	0.0411	1.5	3.15	3.75	8	3.05	0.5	9/1/2025	0	no			0	0	0	0	0	0	0	
476512	Greenwood	MS	Staplcotn/Rising Sun	Leflore              	1	Yes	0.039	1.85	3	4	7	3.05	0	9/1/2025	0	yes			0	0	0	0	0	0	0	
477005	Grenada	MS	Federal Compress Grenada	Grenada              	1	Yes	0.0411	1.5	3.15	3.75	8	3.05	0.5	9/1/2025	0	no			0	0	0	0	0	0	0	
480505	Indianola	MS	Staplcotn/Indianola	Sunflower            	1	Yes	0.039	1.85	3	4	7	3.05	0	9/1/2025	0	yes			0	0	0	0	0	0	0	
481005	Inverness	MS	Federal Compress Inverness #1	Sunflower            	1	Yes	0.0411	1.5	3.15	3.75	8	3.05	0.5	9/1/2025	0	no			0	0	0	0	0	0	0	
481010	Inverness	MS	Federal Compress Inverness #2	Adams                	1	Yes	0.0411	1.5	3.15	3.75	8	3.05	0.5	9/1/2025	0	no			0	0	0	0	0	0	0	
490150	Olive Branch	MS	Anderson Clayton Desoto Warehouse	Desoto               	1	Yes	0.0524	5	4	8	8	0	0	8/1/2025	0	no		"250,000"	9	0	0	2.25	5	0	4	
499502	Tunica	MS	Staplcotn/Tunica	Tunica               	1	Yes	0.039	1.85	3	4	7	3.05	0	9/1/2025	0	no			0	0	0	0	0	0	0	
516004	Caruthersville	MO	Caruthersville Cotton Warehouse	Pemiscot             	1	Yes	0.0491	3	3.3	10.25	8	0	0	9/1/2025	0	no			0	0	0	0	0	0	0	
517010	Hayti	MO	Federal Compress Hayti	Pemiscot             	1	Yes	0.0532	2.1	3.25	20.75	0	0	0.5	9/1/2025	0	no			0	0	0	0	0	0	0	
517813	Malden	MO	Sandy Ridge Cotton Warehouse	Dunklin              	1	Yes	0.046	0	3.25	19.75	0	0	0	9/1/2025	0	no			0	0	0	0	0	0	0	
517814	Malden	MO	Bernie Farmers Gin Warehouse	Dunklin              	1	Yes	0.0492	1.6	3.25	11.25	8	0	0.5	9/1/2025	0	no			0	0	0	0	0	0	0	
518085	New Madrid	MO	Bootheel Cotton Warehouse	New madrid        	1	Yes	0.0482	1.6	3.25	11.25	8	0	0	8/1/2025	0	no			0	0	0	0	0	0	0	
518505	Portageville	MO	Federal Compress Portageville	New madrid        	1	Yes	0.0532	2.1	3.25	20.75	0	0	0.5	9/1/2025	0	yes			0	0	0	0	0	0	0	
518510	Portageville	MO	Missouri Cotton Warehouse	New madrid        	1	Yes	0.045	1.5	2.75	10.25	8	0	0	9/1/2025	0	no			0	0	0	0	0	0	0	
